Imię,Liczba,Płeć
ANTONI,3862,M
JAN,3535,M
ALEKSANDER,3353,M
FRANCISZEK,3252,M
JAKUB,3236,M
SZYMON,2575,M
MIKOŁAJ,2536,M
LEON,2479,M
FILIP,2372,M
STANISŁAW,2295,M
IGNACY,2194,M
WOJCIECH,2158,M
NIKODEM,2081,M
TYMON,1888,M
KACPER,1855,M
ADAM,1850,M
MARCEL,1781,M
MICHAŁ,1597,M
WIKTOR,1436,M
MAKSYMILIAN,1410,M
TYMOTEUSZ,1342,M
IGOR,1330,M
OLIWIER,1303,M
PIOTR,1185,M
MIŁOSZ,1144,M
JULIAN,1051,M
OSKAR,993,M
BARTOSZ,843,M
DAWID,839,M
GABRIEL,794,M
KRZYSZTOF,768,M
MATEUSZ,764,M
DOMINIK,720,M
KAROL,700,M
HUBERT,675,M
TOMASZ,663,M
ALAN,652,M
BRUNO,611,M
FABIAN,601,M
MACIEJ,598,M
NATAN,573,M
KSAWERY,468,M
PAWEŁ,464,M
HENRYK,456,M
CEZARY,455,M
TADEUSZ,448,M
ARTUR,427,M
BORYS,425,M
BARTŁOMIEJ,381,M
KUBA,366,M
KAJETAN,362,M
PATRYK,348,M
OLAF,336,M
KAMIL,335,M
JÓZEF,334,M
WITOLD,325,M
ADRIAN,301,M
KAZIMIERZ,294,M
DANIEL,292,M
GRZEGORZ,289,M
ERYK,277,M
TEODOR,258,M
MILAN,253,M
SEBASTIAN,247,M
KRYSTIAN,237,M
KORNEL,236,M
JERZY,235,M
STEFAN,231,M
KONSTANTY,212,M
RYSZARD,210,M
GUSTAW,209,M
MIESZKO,209,M
TOBIASZ,209,M
RAFAŁ,200,M
LEONARD,198,M
ROBERT,189,M
MARCIN,183,M
EMIL,175,M
LEO,173,M
ALEKS,168,M
PRZEMYSŁAW,168,M
FELIKS,166,M
OLIVIER,164,M
ŁUKASZ,163,M
KONRAD,154,M
BŁAŻEJ,150,M
NATANIEL,150,M
DAMIAN,143,M
JEREMI,138,M
RADOSŁAW,136,M
JULIUSZ,124,M
JĘDRZEJ,121,M
FLORIAN,120,M
ALEX,115,M
REMIGIUSZ,106,M
KORDIAN,103,M
GRACJAN,102,M
LUDWIK,102,M
DORIAN,98,M
MAREK,98,M
ERNEST,94,M
MARK,93,M
ANDRZEJ,92,M
LUCJAN,91,M
ALBERT,89,M
WŁADYSŁAW,89,M
IWO,84,M
SAMUEL,84,M
ARKADIUSZ,80,M
MAKSYM,78,M
MAURYCY,75,M
ALEKSY,74,M
JACEK,74,M
BRAJAN,72,M
BENIAMIN,67,M
HUGO,65,M
SEWERYN,62,M
FRYDERYK,59,M
ALEXANDER,58,M
NORBERT,54,M
MAKS,52,M
ROMAN,52,M
JEREMIASZ,51,M
OLGIERD,51,M
EDWARD,50,M
SZCZEPAN,47,M
ZBIGNIEW,46,M
DAVID,45,M
ARON,44,M
KOSMA,42,M
JOACHIM,39,M
CYPRIAN,38,M
ARTEM,36,M
MARCELI,36,M
WINCENTY,35,M
BERNARD,34,M
DARIUSZ,34,M
OLIWER,34,M
BOGDAN,32,M
LIAM,32,M
OKTAWIAN,32,M
OLIVER,31,M
TIMUR,29,M
MAXIMILIAN,28,M
EMILIAN,27,M
SYLWESTER,27,M
GNIEWOMIR,26,M
LESZEK,26,M
TYTUS,26,M
VINCENT,26,M
ZACHARY,26,M
GNIEWKO,25,M
JONASZ,25,M
TEO,25,M
ZIEMOWIT,25,M
AMADEUSZ,24,M
BOLESŁAW,24,M
IVAN,24,M
MIRON,24,M
MAX,23,M
BRUNON,22,M
DANIIL,22,M
LEONARDO,22,M
OLEKSANDR,22,M
BOGUSŁAW,21,M
DENIS,21,M
ELIASZ,21,M
KSAWIER,21,M
NIKOLAS,21,M
ROCH,21,M
KASPIAN,20,M
SŁAWOMIR,20,M
LEOPOLD,19,M
MATVII,19,M
KASJAN,18,M
KLEMENS,18,M
MARIUSZ,18,M
ZYGMUNT,18,M
EDMUND,17,M
JONATAN,17,M
BARTEK,16,M
CZESŁAW,16,M
MARTIN,16,M
WIT,16,M
COLIN,15,M
FRANEK,15,M
IVO,15,M
JAROSŁAW,15,M
KORNELIUSZ,15,M
LEW,15,M
NICOLAS,15,M
OLEG,15,M
VIKTOR,15,M
WINCENT,15,M
AARON,14,M
BENJAMIN,14,M
BOGUMIŁ,14,M
EMANUEL,14,M
IRENEUSZ,14,M
ANTONIO,13,M
FELICJAN,13,M
KAI,13,M
KEVIN,13,M
MAKAR,13,M
MIECZYSŁAW,13,M
MIROSŁAW,13,M
VICTOR,13,M
ALEK,12,M
BRONISŁAW,12,M
IWAN,12,M
NIKITA,12,M
XAVIER,12,M
BRAYAN,11,M
DMYTRO,11,M
KRYSPIN,11,M
LUKA,11,M
MAKARY,11,M
OLEK,11,M
DIEGO,10,M
MARIAN,10,M
MAXYMILIAN,10,M
MICHAEL,10,M
MYKHAILO,10,M
NAZAR,10,M
OREST,10,M
TYMOFII,10,M
WILHELM,10,M
ARIEL,9,M
AUGUST,9,M
AUGUSTYN,9,M
DAMIR,9,M
DANYLO,9,M
DOBROMIR,9,M
GERARD,9,M
KRZESIMIR,9,M
LEV,9,M
MAKSIM,9,M
MATEO,9,M
NATHAN,9,M
NOAH,9,M
WALDEMAR,9,M
WILLIAM,9,M
YAROSLAV,9,M
ANTEK,8,M
BASTIAN,8,M
CYRYL,8,M
GNIEWOSZ,8,M
LECH,8,M
NATHANIEL,8,M
NOE,8,M
NOEL,8,M
PLATON,8,M
VLADYSLAV,8,M
ZACHARIASZ,8,M
ZAKHAR,8,M
AMBROŻY,7,M
ARSEN,7,M
BAZYLI,7,M
BENEDYKT,7,M
FELIX,7,M
HENRY,7,M
KEWIN,7,M
MATTEO,7,M
MATVEY,7,M
NIKO,7,M
RAFAEL,7,M
SERGIUSZ,7,M
WŁODZIMIERZ,7,M
ALEKSANDR,6,M
DENYS,6,M
EDGAR,6,M
HIERONIM,6,M
JAROMIR,6,M
KARIM,6,M
LUIS,6,M
MARKO,6,M
MARKUS,6,M
TEOFIL,6,M
VLADISLAV,6,M
ANATOL,5,M
ANDRII,5,M
ARIAN,5,M
DANIL,5,M
HEKTOR,5,M
ITAN,5,M
JANUSZ,5,M
JOEL,5,M
KAJ,5,M
KIRILL,5,M
LUBOMIR,5,M
LUCJUSZ,5,M
MARCO,5,M
MAXIM,5,M
PABLO,5,M
RAGNAR,5,M
SAMBOR,5,M
SANTIAGO,5,M
THEO,5,M
TYCJAN,5,M
VOLODYMYR,5,M
WAWRZYNIEC,5,M
XAWERY,5,M
ANDRIY,4,M
AXEL,4,M
BRIAN,4,M
DAVYD,4,M
DIONIZY,4,M
EMIR,4,M
EMMANUEL,4,M
ERIK,4,M
FRANK,4,M
GAWEŁ,4,M
GUSTAV,4,M
ILIAN,4,M
ILLIA,4,M
KLAUDIUSZ,4,M
KRISTIAN,4,M
LOUIS,4,M
LUKAS,4,M
MAGNUS,4,M
MANUEL,4,M
MATVEI,4,M
MATVIY,4,M
NATANAEL,4,M
NICHOLAS,4,M
OSCAR,4,M
PAVLO,4,M
RADOMIR,4,M
SAMIR,4,M
TIMOFEI,4,M
ZDZISŁAW,4,M
ALFRED,3,M
ALOJZY,3,M
AMIR,3,M
ANDREAS,3,M
ANTON,3,M
ARTHUR,3,M
AURELIUSZ,3,M
BALTAZAR,3,M
BJORN,3,M
BOHDAN,3,M
BRANDON,3,M
CHRISTOPHER,3,M
DAJAN,3,M
DANTE,3,M
DEMIAN,3,M
DUC ANH,3,M
ELDAR,3,M
ERWIN,3,M
EUGENIUSZ,3,M
GERALD,3,M
HASAN,3,M
IBRAHIM,3,M
ISMAEL,3,M
JOSHUA,3,M
JOSZKO,3,M
JUSTIN,3,M
KASPER,3,M
KIRIL,3,M
KONSTANTIN,3,M
KONSTANTYN,3,M
LARS,3,M
MARSEL,3,M
MATWIEJ,3,M
MATWIJ,3,M
MERT,3,M
MICHAIL,3,M
MIKAEL,3,M
NOLAN,3,M
PASCAL,3,M
PAVEL,3,M
PHILIP,3,M
RAUL,3,M
RAYAN,3,M
SERHII,3,M
SIEMOWIT,3,M
STANISLAW,3,M
SVIATOSLAV,3,M
TYBERIUSZ,3,M
VADYM,3,M
WOJTEK,3,M
XAWIER,3,M
YEVHENII,3,M
YURII,3,M
ZAKHARII,3,M
ZORIAN,3,M
ABRAHAM,2,M
AIDEN,2,M
AKSEL,2,M
ALEXANDRE,2,M
ALI,2,M
AMMAR,2,M
ANTONY,2,M
ARMANI,2,M
ARMIN,2,M
ARSALAN,2,M
ARTEMIY,2,M
ARTIOM,2,M
ASLAN,2,M
AVYAAN,2,M
BARNABA,2,M
BENON,2,M
BORIS,2,M
BOŻYDAR,2,M
BRYAN,2,M
CHRISTIAN,2,M
COLLIN,2,M
CONAN,2,M
CRISTIANO,2,M
DANYIL,2,M
DAWYD,2,M
DEMIR,2,M
DUSZAN,2,M
DYLAN,2,M
DYMITR,2,M
ELLIOT,2,M
EMILIANO,2,M
EMILIO,2,M
ENZO,2,M
EUZEBIUSZ,2,M
FILIPE,2,M
FLAVIO,2,M
FRANCESCO,2,M
FRANCISCO,2,M
FRANCO,2,M
FRANKO,2,M
GAEL,2,M
GAJUSZ,2,M
GEORGE,2,M
GIA HUY,2,M
GILBERT,2,M
GLEB,2,M
GNIEWOSŁAW,2,M
HERBERT,2,M
HORACY,2,M
ILYAS,2,M
IVAAN,2,M
IWAR,2,M
JAMES,2,M
JANEK,2,M
JAREMA,2,M
JONAS,2,M
JORDAN,2,M
KIAAN,2,M
KILIAN,2,M
KONSTANTINOS,2,M
KYRYLO,2,M
LEONID,2,M
LEONIDAS,2,M
LESŁAW,2,M
LIONEL,2,M
LORENCO,2,M
LUCAS,2,M
MANFRED,2,M
MARCELL,2,M
MATE,2,M
MATEI,2,M
MICHELE,2,M
MIHAIL,2,M
MIKHAIL,2,M
MILO,2,M
MIŁOSŁAW,2,M
MIROSLAV,2,M
MIROSLAW,2,M
MUHAMMAD,2,M
MUSTAFA,2,M
MYRON,2,M
NEIL,2,M
NIKOS,2,M
OLEKSANDER,2,M
OLEKSII,2,M
OTTON,2,M
RACIBOR,2,M
RADEK,2,M
RADZIMIR,2,M
RENAT,2,M
RICHARD,2,M
ROGER,2,M
ROMEO,2,M
RUBEN,2,M
SERAFIN,2,M
SEVER,2,M
SIMON,2,M
STANISLAV,2,M
TADEI,2,M
TARAS,2,M
THOMAS,2,M
TIAGO,2,M
TIGRAN,2,M
TIMOFEY,2,M
TOMAS,2,M
TONY,2,M
TRAIAN,2,M
TRISTAN,2,M
TYMOFIJ,2,M
USMAN,2,M
WALERIAN,2,M
WILKOMIR,2,M
WITOSZ,2,M
WLADYSLAW,2,M
YOUSSEF,2,M
ZAHAR,2,M
ZLATAN,2,M
ZUZANNA,3251,K
ZOFIA,3178,K
HANNA,3064,K
JULIA,3022,K
MAJA,2812,K
LAURA,2679,K
OLIWIA,2377,K
ALICJA,2362,K
LENA,2309,K
POLA,2190,K
MARIA,2054,K
EMILIA,1746,K
ANTONINA,1717,K
AMELIA,1638,K
IGA,1585,K
MARCELINA,1577,K
WIKTORIA,1532,K
ALEKSANDRA,1472,K
MICHALINA,1412,K
LILIANA,1411,K
HELENA,1285,K
KLARA,1250,K
NATALIA,1148,K
GABRIELA,1126,K
NADIA,1075,K
ANNA,1064,K
BLANKA,1039,K
KORNELIA,1034,K
ŁUCJA,931,K
JAGODA,859,K
NELA,772,K
MILENA,726,K
KAJA,699,K
LILIANNA,693,K
ANASTAZJA,684,K
NINA,638,K
NIKOLA,611,K
WERONIKA,605,K
MARTYNA,595,K
BARBARA,567,K
MATYLDA,549,K
RÓŻA,537,K
ANIELA,526,K
KAROLINA,494,K
MIA,494,K
AGATA,493,K
ROZALIA,476,K
MAGDALENA,441,K
SARA,406,K
KINGA,392,K
ADRIANNA,372,K
GAJA,368,K
ELIZA,358,K
LIWIA,349,K
MARIANNA,334,K
AURELIA,321,K
MAŁGORZATA,321,K
KALINA,316,K
IZABELA,304,K
JOANNA,291,K
EWA,285,K
LIDIA,271,K
URSZULA,261,K
DOMINIKA,257,K
MELANIA,253,K
PAULINA,252,K
BIANKA,248,K
ZOJA,231,K
APOLONIA,229,K
MALWINA,227,K
KATARZYNA,222,K
MARTA,222,K
IDA,221,K
WANDA,203,K
KLAUDIA,194,K
OLGA,181,K
JAGNA,178,K
PATRYCJA,173,K
DIANA,161,K
DOROTA,158,K
DARIA,146,K
STEFANIA,144,K
MARIKA,133,K
RITA,132,K
ADA,131,K
ELENA,125,K
LARA,121,K
LUIZA,116,K
KAMILA,112,K
NEL,106,K
SOFIA,105,K
CELINA,97,K
LILA,97,K
EMMA,95,K
JANINA,93,K
DAGMARA,92,K
ELŻBIETA,92,K
INGA,92,K
JADWIGA,92,K
LILIA,92,K
SONIA,92,K
ADELA,90,K
MONIKA,90,K
LEA,85,K
TOLA,81,K
AGNIESZKA,76,K
FELICJA,76,K
JAŚMINA,76,K
SANDRA,76,K
ROKSANA,71,K
MARLENA,69,K
OLIVIA,68,K
ALINA,66,K
JUSTYNA,65,K
JULITA,61,K
KARINA,61,K
NOEMI,58,K
ESTERA,57,K
JUDYTA,57,K
JULIANNA,57,K
GLORIA,55,K
JOWITA,53,K
KRYSTYNA,53,K
ANITA,50,K
INKA,50,K
FAUSTYNA,49,K
IRENA,49,K
FRANCISZKA,48,K
MILA,46,K
FLORENTYNA,45,K
KONSTANCJA,44,K
EWELINA,43,K
IZABELLA,43,K
VANESSA,43,K
NATASZA,42,K
TERESA,42,K
OKTAWIA,41,K
VICTORIA,40,K
LIVIA,39,K
MALINA,39,K
MARIETTA,37,K
OTYLIA,37,K
KLEMENTYNA,35,K
SABINA,35,K
ALISA,34,K
DANUTA,34,K
LUCYNA,33,K
POLINA,32,K
STELLA,32,K
MILANA,31,K
